filename,audio_data_mean,audio_data_var,zcr_mean,zcr_var,sc_mean,sc_var,srolloff_mean,srolloff_var,mfcc_mean,mfcc_var,chroma_mean,chroma_var,scale
tizita043.wav,1.2197129e-05,0.038057636,0.058401863972917356,0.05499108625740623,1628.490460301358,142480.16728610673,3829.0935126620548,591120.3230753859,0.94933945,1881.4,0.30799738,0.09491904,Tizita
tizita044.wav,0.00010096309,0.035583712,0.05172900931173539,0.04905311890736177,1430.9856789592156,255586.86947351432,3213.5682710085557,1646700.2067646405,0.063045345,2293.5984,0.297723,0.094734885,Tizita
tizita045.wav,3.4504796e-05,0.036779713,0.04275737356418293,0.04092918057007586,1364.9775213231244,365842.71327952086,3012.098452919408,2217344.9931219546,0.89629453,2449.7654,0.31320804,0.09685428,Tizita
tizita046.wav,-1.9012661e-05,0.04571634,0.046020233359490646,0.04390237148102865,1275.9249295010027,207489.39510825748,2711.916934742647,1523112.4948385505,0.7127803,2369.8137,0.29070044,0.09433734,Tizita
tizita047.wav,6.9399204e-05,0.04500644,0.037775388844285385,0.03634840884194843,1205.7128411632577,247529.65610714597,2574.7010978013736,1496260.1570843577,1.3133668,2474.2126,0.31417167,0.09571093,Tizita
tizita048.wav,-3.4236615e-05,0.050075024,0.0420999829267224,0.0403275743642921,1217.7209919334462,164591.0713707026,2621.1637067684164,1148204.390994627,1.3876796,2406.799,0.30100495,0.09747521,Tizita
tizita049.wav,-0.00013322511,0.051874727,0.03704661293078292,0.03567416140113968,1097.0797741774547,153608.20351716937,2347.127473907943,932403.3211658212,1.8964707,2594.8315,0.31443197,0.09371843,Tizita
tizita050.wav,5.888257e-06,0.05214017,0.03590204163094606,0.03461308503767589,1084.286287323367,184529.75986132037,2293.1944667001258,1158235.003899874,1.8544943,2672.2468,0.33029735,0.098703824,Tizita
tizita051.wav,8.780489e-07,0.059913054,0.044766799267595324,0.04276273295093016,1208.2054293622473,196153.37226002768,2566.8511452689627,1141523.8424590323,1.3337889,2360.2717,0.29583615,0.09360283,Tizita
tizita052.wav,5.1811654e-05,0.04815574,0.042934004982979605,0.04109067619910108,1248.8036689767,156057.29336114,2868.062780959977,1155326.126385864,1.1738969,2288.0044,0.3361617,0.09563833,Tizita
tizita053.wav,-5.797199e-06,0.01950401,0.028960526653996246,0.02812181454991942,1143.4340278938982,260629.6095046033,2523.793072301906,2431716.861601062,-0.8390356,4728.032,0.3364091,0.10316006,Tizita
tizita054.wav,2.8061008e-06,0.0046611717,0.0528574214940511,0.05006351448705132,1637.4310206880666,511862.03134841117,3436.1125556308048,3142384.3728594263,-0.7192075,3857.222,0.366237,0.09280121,Tizita
tizita055.wav,4.7223282e-05,0.005765365,0.06083313299555628,0.05713246292550124,1674.750042549029,448842.1822853063,3391.921156183485,2251807.536826232,0.1358114,3349.383,0.37333247,0.090687424,Tizita
tizita056.wav,-5.344689e-06,0.008066139,0.077482462117721,0.07147893018189691,1999.8531058870785,314986.9855168846,4224.629597320911,2031667.5901541503,1.2006578,2100.929,0.37978083,0.086062215,Tizita
tizita057.wav,-2.7808749e-06,0.0071285814,0.0605020086697118,0.05684151561664192,1641.2381615996533,315107.3844782021,3282.3968184621713,1943613.1702363978,0.6707185,3010.0366,0.35894182,0.08998289,Tizita
tizita058.wav,-7.32976e-06,0.015603839,0.09425552214072633,0.08537141868670538,2217.584531617541,322266.8491560311,4697.9299255937985,1638061.1509961968,4.508103,1018.8503,0.459019,0.0706333,Tizita
tizita059.wav,-4.0742096e-05,0.017689899,0.11281965215313972,0.10009137824118423,2399.8561517492803,248484.4828442277,4925.803547673181,1352795.829607925,4.675131,912.42145,0.42435724,0.079658955,Tizita
tizita060.wav,-8.083047e-05,0.020424383,0.11853236292651087,0.10448244186556882,2347.4103846495227,202473.61916990147,4640.888230042779,1182392.6346809554,5.1318126,809.205,0.43393138,0.07628749,Tizita
tizita061.wav,1.8722349e-05,0.023056911,0.12352146940577548,0.10826391600161357,2459.983112236314,242787.39220872056,5023.452957200561,1263343.8861407463,5.0548625,630.4221,0.44233617,0.07665272,Tizita
tizita062.wav,5.2905263e-05,0.021327678,0.12146668420567205,0.10671252883375155,2523.491140169836,285022.90916474554,5357.092606393914,1280631.726996253,4.8704705,614.73315,0.47721443,0.069049075,Tizita
tizita063.wav,-2.8042838e-05,0.009737082,0.08188447540986085,0.07517940809671278,1797.7106743421725,768654.5188637067,3525.55368145922,3764507.640367552,-0.8294698,3656.352,0.3835465,0.09453819,Tizita
tizita064.wav,-9.566646e-07,0.0049159,0.05047948713687178,0.04793130851527017,1293.745475656929,424676.0429392913,2476.0352468822507,2016241.716691007,-2.9070466,5436.3223,0.3611369,0.09098693,Tizita
tizita065.wav,-8.427938e-06,0.004618653,0.05002396493408509,0.04752156786635849,1236.9985885725193,518597.8533045594,2253.0030430654992,2159594.2004352408,-4.416619,6470.2793,0.3477145,0.09419326,Tizita
tizita066.wav,-2.0348112e-05,0.0039172326,0.0363465646985181,0.03502549193313452,1249.1295341310797,373526.0996659856,2546.4262687753967,2730640.632598949,-1.108438,5337.995,0.3673615,0.09185495,Tizita
tizita067.wav,4.4859294e-06,0.0045313775,0.0419015910599456,0.04014584772659069,1410.5968112462144,359028.113585342,2929.415619557856,2287886.7519510905,-0.07633071,4098.1646,0.39075217,0.08881748,Tizita
tizita068.wav,-1.2391504e-05,0.002587404,0.033650976878551585,0.03251858863367077,1398.3809509075636,517628.1623843362,3097.4421879531615,3843501.532972271,-1.5278966,5862.293,0.38519153,0.09735625,Tizita
tizita069.wav,1.8542538e-05,0.014853403,0.0723075736751625,0.06707918846437345,1458.7825884740728,123733.02705706698,2456.8684769857778,1154180.0318980773,-7.8198724,4093.0261,0.24787095,0.093676455,Tizita
tizita070.wav,-3.2005737e-05,0.014969496,0.06833861771469783,0.0636684510435422,1613.2528057940563,416661.21690548694,2918.565685165925,2582085.195373746,-6.6662183,2774.5115,0.26829225,0.09730185,Tizita
tizita071.wav,-9.839446e-06,0.015820267,0.06926697541364081,0.0644690615306869,1529.4703497448493,386203.3685949468,2697.417022421633,2171462.486069674,-6.4983644,2810.7163,0.26059198,0.09624998,Tizita
tizita072.wav,1.6439777e-05,0.018584557,0.07211571149484855,0.06691503565044031,1357.9779138075935,60513.71524247288,2212.923819061775,282708.85776928236,-6.2715526,3028.9326,0.2307661,0.09042313,Tizita
tizita073.wav,9.119769e-06,0.023465851,0.08890461351440844,0.08100058321026207,1776.6840534430546,390208.2547172353,3290.846767366486,2435675.560183834,-5.3160233,2321.7097,0.24505278,0.09468887,Tizita
tizita074.wav,-1.6473476e-05,0.020044155,0.08115872346280446,0.07457198506869252,1552.964237270971,176871.7183164714,2691.5337246637964,1070886.7164499115,-5.63713,2692.3445,0.250604,0.09179843,Tizita
tizita075.wav,4.012106e-06,0.015154511,0.07169068452016457,0.06655113027319479,1344.4926420484767,65744.97791895823,2207.1783201613293,468881.3163355114,-6.049836,3288.0083,0.24656875,0.090772346,Tizita
tizita076.wav,2.9227424e-06,0.014705111,0.07668621279951893,0.07080543756598584,1623.395366320378,541764.8755583096,2860.6019340922276,2492249.6756294845,-6.440095,2845.4763,0.2683882,0.09474404,Tizita
tizita077.wav,-1.3866776e-05,0.01717318,0.07274756079306544,0.06745535319172469,1554.845297161869,493354.1295115274,2715.650245501161,2888293.1741114836,-6.500676,2895.7173,0.26732433,0.095185995,Tizita
tizita078.wav,1.529914e-05,0.020550538,0.06813903592925732,0.06349610771188871,1334.8538058108852,44600.472821753545,2177.845164201577,250419.34225172718,-6.2426977,2967.0898,0.23138714,0.090309545,Tizita
tizita079.wav,2.6904441e-05,0.018351374,0.09579018511210599,0.08661442554829446,1634.147392092777,724666.2279361087,2766.3999386247096,2058056.798960059,-7.023828,3198.296,0.3149032,0.097502254,Tizita
tizita080.wav,4.5049314e-06,0.003997246,0.12992159890489277,0.11304197704288896,2096.369533846388,973428.4604548799,3664.1084958671695,2012499.3885893829,-16.159117,3773.2344,0.28149062,0.09129925,Tizita
tizita081.wav,-8.065427e-06,0.0039050474,0.057423610827614255,0.054126139747132956,1302.25355003816,170599.46757347308,2398.5854960816564,817730.7872243739,-9.873421,4876.0225,0.25816798,0.089146115,Tizita
tizita082.wav,-2.9676477e-05,0.008732224,0.046800416702576265,0.04461013769904148,1259.948122117118,203525.59784623072,2503.3348626765674,1443180.7206811453,-2.0794165,3402.3835,0.33201283,0.09133917,Tizita
tizita083.wav,9.197986e-06,0.01232894,0.04527331364731177,0.04322364071870392,1264.868196049749,152231.1390357855,2468.0600759783765,1390224.792159258,-1.3168775,3047.7156,0.32314256,0.09324738,Tizita
tizita084.wav,-3.8285645e-05,0.010834663,0.04342958330626287,0.04154345460010725,1195.8575730200828,193070.33400602886,2402.0679447324537,1274546.4469689312,-0.24001475,3396.6116,0.3474481,0.092931226,Tizita
tizita085.wav,2.499599e-05,0.014356691,0.05301466774924665,0.05020411275268365,1365.1522139769727,230417.59848669227,2888.1742022723975,1733962.5611872755,-0.091394305,2735.0024,0.32159534,0.09093567,Tizita
tizita086.wav,4.5720222e-05,0.016230391,0.06391153083765383,0.059826847063641435,1529.5530172999038,297400.383008007,3236.038765449642,2321890.430371442,-0.00852287,2342.0173,0.31614077,0.09368807,Tizita
tizita087.wav,-0.000113424925,0.016699614,0.06063657517656184,0.05695978092741901,1464.918596089456,223623.69006524948,3012.7984486866294,1544864.2842775653,-0.11935385,2356.1946,0.3107788,0.09185435,Tizita
tizita088.wav,-2.416474e-05,0.013516241,0.04728089167836363,0.04504540896046249,1260.3477949587807,202838.23602544947,2461.8879490828017,1482009.2108381207,-0.30010995,2908.8699,0.34295753,0.09201725,Tizita
tizita089.wav,-2.1671649e-05,0.012093116,0.09212362579624817,0.08363686336640104,1709.5188684946693,515948.210787999,3055.4231909406444,1450067.67732248,-5.4804554,2974.4062,0.3089671,0.091761775,Tizita
tizita090.wav,1.2664815e-05,0.017159482,0.1086359945750042,0.0968342152577038,2243.490464256523,446226.7011143595,4182.408042884094,1526820.5749939082,-10.084881,3510.632,0.3416411,0.095798865,Tizita
tizita091.wav,-7.3401054e-05,0.094930194,0.04298719501408412,0.04113929607890522,1744.3522067303577,225196.6159623095,3980.0425998935757,1526035.9178166992,6.002019,1133.3977,0.4437389,0.09320527,Tizita
tizita092.wav,2.1551072e-05,0.10748589,0.03675438503716082,0.035403500217700966,1630.952691925158,390797.03220802656,3630.934373187355,1708878.8676355528,5.6165223,1316.9309,0.4127924,0.102096885,Tizita
tizita093.wav,0.00013235905,0.08154473,0.05122145564672814,0.04859781812815842,1753.5949455772795,332309.3230822354,3878.068216518721,1603590.930093099,5.1124673,1479.9572,0.4100163,0.09434912,Tizita
tizita094.wav,0.0002140882,0.09915285,0.05173401795933672,0.049057609345119754,1807.777691606965,237934.64140335916,3968.942667013351,1465067.355711592,5.9530144,1007.8442,0.4367214,0.08928189,Tizita
tizita095.wav,7.257091e-05,0.09926835,0.04890056139937071,0.04650929649419706,1782.4232866046075,262209.7933862269,3935.5845353920763,1463562.5280078438,5.992383,1026.8907,0.4389068,0.08945715,Tizita
tizita096.wav,-0.000104512095,0.10124826,0.04358369607752779,0.0416841575137495,1713.9944933915363,327926.9695173622,3780.3261741408064,1500122.8378598397,5.4180236,1155.1869,0.41492358,0.09372348,Tizita
tizita097.wav,-0.00012681186,0.10367656,0.0416007063985618,0.03987008762570245,1618.4227489976315,369026.88824656646,3511.953763696062,1437949.7677624945,5.363143,1326.7836,0.3949916,0.100611195,Tizita
tizita098.wav,7.475641e-05,0.041578323,0.041703521257728124,0.039964337572434346,1258.7568088709015,309609.33271774574,2529.701369908572,1799870.9463985558,-0.8106089,3925.363,0.34786797,0.08953272,Tizita
tizita099.wav,7.198983e-05,0.04823991,0.03672607248749968,0.03537726808714259,1065.824392384032,152738.71039796388,2232.469833893673,970797.101354434,-0.50221187,2595.8005,0.32179713,0.08240567,Tizita
tizita100.wav,-1.0920902e-05,0.057087686,0.044997907390311745,0.042973095720804676,1192.470263311418,243527.39068244884,2427.006824608469,1161439.9066973175,0.07546825,2356.0986,0.30034232,0.083237365,Tizita
tizita101.wav,-6.4191904e-06,0.050934616,0.035645004483030256,0.03437443813843501,1049.770535630678,154966.72067494894,2195.936721471072,937123.0786000825,-0.114447795,2602.9673,0.32452312,0.082892604,Tizita
tizita102.wav,-3.6943242e-05,0.055540714,0.04188647122771526,0.04013199475580503,1111.5269238286705,252358.78172604615,2210.1699687379064,1275130.1313784684,0.15892631,2586.9478,0.31219643,0.082786806,Tizita
tizita103.wav,-2.2851002e-05,0.041899096,0.029347594359092993,0.02848631306442713,876.6524629842551,97207.28517934695,1740.7894736842106,761094.4616151144,-1.1224662,3276.8079,0.32356608,0.08436638,Tizita
tizita104.wav,5.2769625e-05,0.04179207,0.023314844837146617,0.02277126284736639,657.2536110949486,24264.791553226936,1051.4964517473898,314933.5868834034,-1.4797146,4200.216,0.33157247,0.08859545,Tizita
tizita105.wav,1.4704036e-05,0.04204752,0.025998551520072334,0.025322626838930475,702.0661307817794,41124.021601416105,1133.4348129414184,416861.85877983284,-1.1939437,4139.371,0.32613367,0.090755954,Tizita
tizita106.wav,-3.0666954e-05,0.043718036,0.028304325935199423,0.027503191068553434,832.6930591802352,100084.31842485897,1532.4740666723103,836809.1473285429,-0.6522727,3522.7463,0.32991588,0.08966368,Tizita
tizita107.wav,3.0125116e-06,0.04419419,0.03852533252291033,0.03704113127690949,1076.7291716213028,213149.8534142648,2193.3700703245936,1196278.8894311409,-0.22792318,2795.315,0.3119146,0.08401272,Tizita
tizita108.wav,-7.940909e-06,0.048540115,0.03610771576165704,0.03480394862413245,1075.666991004849,190994.4905615074,2238.220752972738,1096797.7779198422,-0.25018,2702.9834,0.3113103,0.086668,Tizita
